StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,RH,RHMin,WS,WD,WSGust,WDGust,PrecpHour,PrecpMax10,PrecpMax60,SunShine,SunshineRate,GloblRad,VisbMean,EvapA,UVI Max,Cloud Amount,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm
1005.9,1008.3,1008.1,1004.2,29.6,32.1,28.0,26.6,84.0,74.0,4.5,220.0,12.8,250.0,0.0,0.0,0.0,7.5,55.8,23.96,24.0,6.6,13.0,9.3,30.2,30.2,29.3,29.0,29.6,28.4,27.6
1008.5,1011.0,1010.0,1007.2,29.7,32.5,27.0,26.9,85.0,74.0,3.8,210.0,10.1,260.0,0.0,0.0,0.0,11.0,81.9,27.62,19.0,7.7,13.0,6.0,30.5,30.5,29.5,29.3,29.8,28.6,27.7
1009.2,1011.7,1010.3,1008.1,29.7,32.3,26.9,26.1,81.0,72.0,5.0,240.0,12.0,240.0,0.0,0.0,0.0,13.1,97.7,28.66,25.0,7.5,13.0,1.5,30.5,30.5,29.6,29.4,30.0,28.7,27.8
1007.8,1010.2,1009.2,1006.4,30.0,32.8,27.4,26.8,84.0,64.0,5.0,230.0,10.8,240.0,0.0,0.0,0.0,12.3,91.8,28.02,30.0,7.7,13.0,2.5,30.9,30.9,29.9,29.6,30.1,28.9,27.9
1005.7,1008.2,1007.4,1004.4,30.0,32.6,28.4,27.0,84.0,69.0,5.9,230.0,12.1,230.0,0.0,0.0,0.0,11.0,82.2,27.88,20.0,7.9,13.0,1.5,31.1,31.1,30.0,29.8,30.3,29.0,28.0
1004.7,1007.1,1005.8,1003.0,29.7,32.4,28.0,26.9,85.0,74.0,5.0,240.0,11.7,250.0,0.0,0.0,0.0,10.6,79.3,27.68,22.0,7.5,13.0,2.5,31.0,31.0,30.1,29.9,30.4,29.1,28.1
1006.1,1008.5,1007.5,1004.7,30.0,33.2,28.2,26.8,84.0,72.0,2.6,250.0,7.2,290.0,0.0,0.0,0.0,10.7,80.1,27.22,13.0,7.2,12.0,1.3,31.5,31.5,30.4,30.1,30.6,29.2,28.1
1005.9,1008.4,1007.0,1004.1,29.6,32.6,27.2,26.5,83.0,71.0,2.8,250.0,8.2,250.0,0.0,0.0,0.0,11.7,87.7,27.07,14.5,7.3,11.0,3.0,31.6,31.6,30.4,30.3,30.7,29.4,28.2
1005.2,1007.6,1006.5,1004.0,29.7,32.8,27.0,26.1,82.0,63.0,2.5,260.0,8.0,290.0,0.0,0.0,0.0,11.9,89.3,27.26,15.8,7.4,12.0,2.3,31.9,31.9,30.7,30.5,31.0,29.6,28.3
1004.3,1006.7,1005.5,1002.7,29.7,32.5,27.2,25.8,80.0,66.0,2.5,280.0,7.3,340.0,0.0,0.0,0.0,12.1,91.0,27.45,16.0,8.3,12.0,1.8,31.7,31.7,30.9,30.8,31.2,29.8,28.5
1002.8,1005.2,1003.8,1000.6,29.7,33.5,26.1,25.9,81.0,62.0,2.8,30.0,9.0,140.0,0.4,4.5,4.5,10.8,81.3,25.4,17.0,-7.4,12.0,5.0,31.3,31.3,30.9,30.8,31.3,30.0,28.6
1000.7,1003.2,1003.1,999.4,28.7,33.3,25.2,26.3,88.0,64.0,3.0,40.0,11.6,40.0,0.9,2.5,6.0,6.3,47.5,21.88,30.0,5.2,14.0,8.5,29.5,29.5,30.1,30.2,31.0,30.0,28.8
1001.4,1003.8,1002.7,1000.3,29.6,32.6,26.1,26.1,82.0,70.0,3.2,220.0,7.5,250.0,0.0,0.0,0.0,10.9,82.3,26.24,20.0,7.8,13.0,9.0,30.4,30.4,29.7,29.8,30.7,29.9,28.9
1003.8,1006.2,1005.6,1002.1,30.4,33.0,28.3,26.3,79.0,66.0,4.0,220.0,11.7,220.0,0.0,0.0,0.0,9.3,70.3,22.96,16.0,6.6,11.0,7.3,30.8,30.8,29.9,29.9,30.7,29.9,28.9
1006.2,1008.7,1007.8,1004.6,27.3,30.1,25.0,25.3,89.0,78.0,2.3,180.0,8.7,50.0,1.8,14.0,23.0,0.0,0.0,4.39,17.5,-1.3,2.0,10.0,28.4,28.4,28.8,29.0,30.3,29.8,29.0
1006.5,1009.0,1007.9,1005.0,28.8,31.9,25.2,25.4,82.0,67.0,2.9,30.0,8.4,30.0,0.0,0.0,0.0,8.8,66.7,23.01,20.5,-3.7,13.0,4.0,28.6,28.6,28.4,28.5,29.5,29.2,29.0
1007.2,1009.6,1008.6,1005.8,28.9,32.3,26.2,25.8,84.0,68.0,2.9,210.0,8.4,200.0,0.4,2.5,2.5,8.4,63.8,24.94,16.0,7.0,13.0,5.5,29.4,29.4,29.1,29.1,29.9,29.2,28.9
1007.4,1009.8,1009.0,1005.8,29.1,31.9,26.1,25.5,82.0,67.0,1.9,330.0,6.3,350.0,0.0,0.0,0.0,9.8,74.5,26.76,18.0,6.9,13.0,5.5,29.5,29.5,29.3,29.3,30.1,29.3,28.8
1005.9,1008.4,1007.4,1003.8,29.5,32.8,26.6,25.6,80.0,62.0,2.2,180.0,6.9,280.0,0.0,0.0,0.0,10.4,79.2,26.78,18.0,6.9,13.0,4.8,29.6,29.6,29.4,29.4,30.2,29.4,28.8
1005.7,1008.2,1007.5,1003.7,29.7,32.6,26.6,26.1,81.0,64.0,2.6,150.0,8.7,320.0,0.0,0.0,0.0,9.9,75.5,26.26,16.8,7.8,11.0,6.3,29.9,29.9,29.6,29.6,30.4,29.5,28.9
1005.9,1008.3,1007.5,1004.0,29.2,32.6,26.4,25.9,83.0,69.0,2.6,330.0,9.0,20.0,0.0,0.0,0.0,9.9,75.6,23.9,19.0,6.4,12.0,4.3,29.8,29.8,29.6,29.6,30.5,29.6,28.9
1005.3,1007.8,1006.8,1003.3,29.2,32.3,26.3,26.1,83.0,70.0,2.6,320.0,7.2,340.0,0.0,0.0,0.0,9.6,73.4,24.16,19.0,6.6,12.0,6.0,29.8,29.8,29.6,29.6,30.4,29.6,29.0
1006.0,1008.5,1007.3,1005.0,29.6,32.4,26.7,25.7,80.0,64.0,2.6,280.0,7.6,280.0,0.0,0.0,0.0,12.5,96.3,27.17,24.5,5.5,13.0,2.8,30.4,30.4,30.1,30.1,30.8,29.9,29.2
1005.3,1007.8,1006.6,1004.3,29.3,31.3,27.4,26.8,87.0,77.0,2.7,330.0,8.6,20.0,0.0,0.0,0.0,2.0,15.4,11.29,18.0,2.8,5.0,9.3,29.8,29.8,29.9,30.0,30.8,29.9,29.2
1004.0,1006.4,1005.5,1002.7,29.7,32.0,27.9,27.7,89.0,79.0,3.0,270.0,7.3,260.0,0.0,0.0,0.0,8.1,62.6,23.13,17.5,5.9,13.0,6.8,30.9,30.9,30.1,30.0,30.7,29.8,29.3
1005.2,1007.6,1006.9,1003.9,29.2,31.6,27.0,25.9,83.0,69.0,5.0,240.0,12.0,240.0,0.0,0.0,0.0,12.1,94.4,24.96,22.5,6.0,10.0,8.3,30.3,30.3,30.0,30.0,30.9,30.0,29.4
1003.5,1006.0,1004.9,1002.1,29.6,33.1,26.0,25.7,80.0,65.0,2.8,250.0,8.8,250.0,0.0,0.0,0.0,12.5,97.7,26.59,23.0,6.1,12.0,3.8,30.6,30.6,29.9,29.9,30.8,29.9,29.4
1003.0,1005.4,1004.9,1000.3,30.0,33.0,27.3,26.9,84.0,62.0,2.8,20.0,9.6,20.0,0.0,0.0,0.0,9.6,75.2,23.34,14.5,6.1,10.0,6.3,31.1,31.1,30.5,30.4,31.1,30.0,29.4
1003.4,1005.8,1007.0,1001.3,30.2,33.2,27.1,26.8,83.0,67.0,3.3,220.0,8.9,230.0,0.0,0.0,0.0,11.1,87.2,25.66,13.8,7.2,12.0,3.8,31.2,31.2,30.5,30.5,31.2,30.1,29.5
1007.8,1010.2,1010.0,1005.6,29.6,32.8,27.3,26.4,83.0,66.0,3.6,220.0,10.7,280.0,0.4,1.0,1.0,8.5,66.9,23.45,16.0,-6.4,12.0,3.5,31.1,31.1,30.6,30.6,31.4,30.3,29.5
1007.6,1010.0,1008.9,1006.3,29.7,31.9,27.5,25.9,80.0,73.0,5.9,220.0,14.1,230.0,0.0,0.0,0.0,11.6,91.4,24.77,18.0,6.7,12.0,8.5,30.5,30.5,30.0,30.1,31.1,30.2,29.6
1007.4,1009.8,1008.6,1006.0,29.4,33.4,26.3,26.6,85.0,65.0,3.8,50.0,11.5,50.0,0.0,0.0,0.0,8.7,69.0,22.46,15.0,6.3,11.0,4.5,30.4,30.4,30.1,30.1,31.0,30.2,29.7
1004.7,1007.2,1006.1,1003.4,28.4,31.2,24.0,24.0,77.0,48.0,7.8,40.0,19.4,40.0,1.5,0.5,0.5,2.9,23.1,14.31,16.0,-5.1,8.0,8.5,29.3,29.3,29.7,29.9,30.9,30.1,29.7
999.3,1001.7,1003.4,996.5,27.0,28.7,25.5,25.2,90.0,69.0,10.4,30.0,20.6,20.0,4.1,1.5,3.0,0.0,0.0,5.07,10.0,-0.9,4.0,9.8,27.0,27.0,27.7,28.2,29.7,29.6,29.5
994.6,997.0,996.8,992.9,27.8,29.1,26.5,27.0,95.0,88.0,9.5,20.0,19.7,20.0,3.4,2.5,4.5,0.8,6.4,11.41,14.3,-1.9,7.0,9.0,27.4,27.4,27.6,27.9,29.2,29.0,29.2
995.6,998.0,998.5,993.8,27.5,29.0,25.6,25.3,88.0,73.0,7.0,230.0,16.8,330.0,6.0,1.5,5.5,0.4,3.2,6.77,10.8,-1.7,5.0,9.8,26.6,26.6,27.0,27.4,28.8,28.7,29.0
1000.2,1002.6,1004.2,997.2,28.8,30.9,27.2,26.4,87.0,81.0,6.2,230.0,14.8,220.0,0.1,0.5,0.5,9.7,77.9,23.15,16.0,-4.9,11.0,7.3,27.9,27.9,27.4,27.5,28.6,28.4,29.1
1008.4,1010.9,1011.5,1004.0,26.9,30.2,24.5,24.6,87.0,72.0,3.7,50.0,13.1,60.0,1.1,1.0,1.0,1.2,9.7,10.17,17.0,-3.0,9.0,10.0,27.1,27.1,27.7,27.8,28.8,28.4,29.0
1011.9,1014.4,1012.9,1010.2,27.4,29.6,24.9,23.5,80.0,54.0,4.8,50.0,13.4,60.0,0.0,0.0,0.0,0.1,0.8,10.39,22.8,3.9,7.0,9.5,26.9,26.9,27.1,27.3,28.4,28.3,28.9
1011.7,1014.2,1013.7,1010.0,27.2,30.2,24.5,21.2,71.0,55.0,6.7,60.0,16.1,50.0,0.0,0.0,0.0,11.7,94.6,24.96,14.5,6.9,11.0,0.3,26.0,26.0,26.6,26.8,28.0,28.0,28.8
1010.5,1013.0,1012.2,1008.5,26.6,30.5,23.4,21.8,75.0,59.0,6.0,50.0,15.3,50.0,0.0,0.0,0.0,11.2,90.7,24.15,12.3,6.7,10.0,0.5,26.2,26.2,26.5,26.6,27.8,27.7,28.6
1008.7,1011.2,1010.4,1006.8,26.1,29.9,21.9,21.8,78.0,60.0,5.1,60.0,13.7,40.0,0.0,0.0,0.0,10.8,87.6,23.47,16.0,-5.1,11.0,5.5,25.9,25.9,26.2,26.4,27.7,27.6,28.4
1005.4,1007.9,1007.9,1003.6,26.6,28.0,24.6,24.9,90.0,84.0,6.0,40.0,16.0,50.0,1.5,0.5,1.0,0.0,0.0,5.48,12.3,-1.0,3.0,10.0,26.2,26.2,26.3,26.5,27.7,27.5,28.3
1002.4,1004.9,1003.6,1001.1,27.2,28.9,25.1,25.5,91.0,84.0,8.2,20.0,19.6,40.0,1.3,4.0,7.5,1.2,9.8,11.59,11.3,-4.7,9.0,9.8,26.3,26.3,26.4,26.5,27.6,27.4,28.1
1002.5,1004.9,1003.7,1001.0,27.6,30.9,24.6,24.4,83.0,64.0,2.3,260.0,7.3,40.0,0.0,0.0,0.0,11.4,93.5,23.68,12.0,5.0,10.0,3.3,27.3,27.3,26.9,26.8,27.8,27.3,27.9
1003.1,1005.5,1004.5,1002.1,26.9,30.8,23.4,24.8,88.0,73.0,2.7,70.0,8.0,60.0,0.0,0.0,0.0,10.1,82.9,23.93,12.0,5.4,10.0,2.8,27.3,27.3,27.0,27.0,27.9,27.4,27.9
1003.6,1006.1,1005.4,1001.9,26.9,30.8,24.3,24.0,85.0,61.0,2.4,30.0,7.5,50.0,0.0,0.0,0.0,10.8,88.9,23.94,20.5,5.9,10.0,3.8,27.5,27.5,27.2,27.2,28.1,27.5,27.9
1003.2,1005.7,1004.4,1001.5,27.2,30.7,24.2,23.5,80.0,63.0,1.8,280.0,6.6,280.0,0.0,0.0,0.0,10.8,89.1,22.55,19.3,5.9,9.0,1.0,27.3,27.3,27.2,27.2,28.1,27.6,27.9
1004.7,1007.1,1006.4,1003.2,27.2,31.1,23.9,23.4,80.0,63.0,2.9,50.0,9.4,40.0,0.0,0.0,0.0,4.8,39.7,15.76,15.0,4.7,8.0,6.5,27.2,27.2,27.0,27.1,28.1,27.6,27.9
1007.8,1010.3,1010.3,1006.1,25.9,29.0,22.6,19.9,70.0,55.0,6.5,60.0,16.2,60.0,0.0,0.0,0.0,10.8,89.5,24.1,18.3,7.4,11.0,3.3,26.4,26.4,26.8,26.9,28.0,27.6,27.9
1009.3,1011.8,1010.5,1007.4,25.2,29.5,20.7,20.9,77.0,66.0,5.7,60.0,17.2,40.0,0.0,0.0,0.0,8.7,72.2,20.38,23.8,5.1,10.0,3.5,25.9,25.9,26.2,26.4,27.7,27.4,27.9
